movie_id,platform_id,need_pay,sample_link
1929463,3,True,http://www.iqiyi.com/v_19rrjv4kz0.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1929463,6,True,http://vip.1905.com/play/1084123.shtml?__hz=6e0721b2c6977135
30170448,3,True,http://www.iqiyi.com/v_19rsfrzkj8.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
30170448,2,True,http://v.youku.com/v_show/id_XNDIxODM5Nzg4NA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
30170448,1,True,http://v.qq.com/x/cover/eaa7qkjmlecfnp1.html?ptag=douban.movie
30170448,5,True,http://www.mgtv.com/b/329242/5774236.html?cxid=94l62sj44
2129039,8,False,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=658372941&pwId=d01197d3076b4164af82983c408bb996
2129039,2,True,http://v.youku.com/v_show/id_XMTQxOTY1NTY5Ng==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
2129039,5,True,http://www.mgtv.com/b/331661/6351005.html?cxid=94l62sj44
2129039,3,True,http://www.iqiyi.com/v_19rrjpyvco.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
2129039,1,True,http://v.qq.com/x/cover/w9gk2xdkyvez6yp.html?ptag=douban.movie
1293182,8,False,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=676069485&pwId=d01197d3076b4164af82983c408bb996
1293182,2,False,http://v.youku.com/v_show/id_XMzgyMzc3Mjg0.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=doubanneirongshuchu_bd.xuyang01_douban_201122
1293182,3,False,http://www.iqiyi.com/v_19rr7rgwgs.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1293182,7,False,https://www.ixigua.com/cinema/album/7OK9bBRU6bl?utm_source=douban
1291583,2,False,https://v.youku.com/v_show/id_XMzQxODI3MzEy.html?spm=a2h0c.8166622.PhoneSokuProgram_1.4&lang=日语
1299398,3,True,http://www.iqiyi.com/v_19rriflhue.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1299398,6,False,http://www.1905.com/vod/play/85525.shtml?__hz=6e0721b2c6977135
1308807,2,False,https://v.youku.com/v_show/id_XMzI1MDY0NDY4.html?spm=a2h0k.11417342.soresults.dplaybutton&lang=%E6%97%A5%E8%AF%AD
1293839,8,False,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=676300224&pwId=d01197d3076b4164af82983c408bb996
1293839,1,False,http://v.qq.com/x/cover/4nxabytt44ngpry.html?ptag=douban.movie
1293839,3,True,http://www.iqiyi.com/v_19rrk3rbyg.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
