movie_id,score,rating_count,star_1_count,star_2_count,star_3_count,star_4_count,star_5_count,collect_count,wish_count,comments_count,reviews_count
5056771,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0
26781230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
5086306,0.0,20.0,0.0,0.0,0.0,0.0,0.0,27,36,14,0
10512721,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0
5056761,0.0,11.0,0.0,0.0,0.0,0.0,0.0,13,37,1,1
10476702,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5,8,1,0
11510916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
10475002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6426305,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4,8,1,0
5056818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
3318056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4724332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0
5056798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0
1302118,0.0,41.0,0.0,0.0,0.0,0.0,0.0,51,117,16,1
1296697,8.2,27665.0,82.0,298.0,3680.0,11074.0,6709.0,38526,19257,5044,60
5056792,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10,21,5,0
5056790,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,14,1,0
1306131,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7,15,4,0
33433247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1307753,0.0,21.0,0.0,0.0,0.0,0.0,0.0,30,177,4,0
33456279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
30432459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2237909,0.0,8.0,0.0,0.0,0.0,0.0,0.0,14,20,4,0
1304568,6.7,1435.0,2.0,2.0,62.0,28.0,6.0,1446,226,32,0
3862634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0
1904329,8.2,254.0,0.0,3.0,24.0,94.0,48.0,322,949,75,7
2226491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2226488,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3,8,0,0
5057779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0
1293104,8.0,1753.0,5.0,21.0,140.0,295.0,199.0,1992,3638,238,10
1293103,7.7,1660.0,7.0,21.0,147.0,287.0,135.0,1918,3726,290,6
3288647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,0
1298769,7.8,448.0,2.0,8.0,81.0,144.0,71.0,658,1962,136,3
3141394,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3,12,1,0
2225295,0.0,31.0,0.0,0.0,0.0,0.0,0.0,42,82,11,0
26788892,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9,2,3,0
3289407,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5,16,0,0
30288015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
1293087,6.7,235.0,3.0,25.0,80.0,41.0,26.0,325,1009,71,1
5260788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,18,2,0
1306243,0.0,58.0,0.0,0.0,0.0,0.0,0.0,66,169,23,0
5146257,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7,7,2,0
27147505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1294767,7.6,228.0,1.0,12.0,51.0,72.0,40.0,307,840,94,5
